geoid10,tractce10,aland10,awater10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle,dist_venue_km,dist_28x28_km,dist_stop_km,venue_access,a_base,a_plan,access_change,ces_disadvantage_decile,hpi_disadvantage_decile,venue_within_3km,project_within_3km,project_closer_than_stop
06037501002,501002,1470883,0,35.5165761710821,68.4190620272315,7.0,79.0292470441817,53.9712556732224,5013.0,0.230827413,0.623748395,3.0,No,0.376251605,78.7,5013.0,"Census Tract 5010.02, Los Angeles County, California",5013.0,100217.0,1450.0,20.0,0.0137931034482758,6.459191669400221,6.782174423009966,8.524566910008778,0.13406278378692044,0.10499165048115332,0.12849879039504014,0.023507139913886824,5,3,False,False,True
06037501001,501001,773481,115356,43.9387691771671,80.7362581946546,9.0,74.6981953951462,76.1472516389309,3046.0,-0.479909706,0.224133504,1.0,Yes,0.775866496,79.4,3046.0,"Census Tract 5010.01, Los Angeles County, California",3046.0,76067.0,769.0,24.0,0.0312093628088426,5.8802778805152105,7.119579342749163,8.919424826677533,0.14534296686358805,0.10081229682900329,0.12315908962611549,0.0223467927971122,7,7,False,False,True
06037500404,500404,1192799,0,45.4315007913866,82.4886535552194,9.0,87.4673304293715,68.6964195663137,4551.0,-0.47585214,0.22605905,1.0,Yes,0.77394095,80.5,4551.0,"Census Tract 5004.04, Los Angeles County, California",4551.0,71654.0,1343.0,12.0,0.0089352196574832,3.548048564915215,7.801447096302437,7.622316473912657,0.21987452106695834,0.11597811365722434,0.11597811365722434,0.0,7,7,False,False,False
06037481606,481606,862070,0,35.7767769268502,68.8224911749874,7.0,80.7591785936528,53.6056480080686,5013.0,-0.282891745,0.33055199,2.0,No,0.66944801,84.2,5013.0,"Census Tract 4816.06, Los Angeles County, California",5013.0,54762.0,1596.0,108.0,0.0676691729323308,8.013439181315333,5.4786456633542295,5.201614851144957,0.11094544267553041,0.1612483238644492,0.1612483238644492,0.0,5,6,False,False,False
06037500403,500403,2059756,189583,44.7336826568803,81.6817952597075,9.0,98.7429993777225,50.1891074130106,3829.0,-0.261023721,0.340179718,2.0,No,0.659820282,84.8,3829.0,"Census Tract 5004.03, Los Angeles County, California",3829.0,82169.0,1067.0,41.0,0.0384254920337394,3.6941317739373227,8.03729711867111,8.62309773699149,0.21303194033712106,0.10391664174374626,0.1106525531769885,0.006735911433242231,7,6,False,False,True
06037433101,433101,1492029,70812,76.2636142001324,99.7856782652547,10.0,99.5021779713752,93.1543116490166,2464.0,-0.437762386,0.244544288,1.0,Yes,0.7554557120000001,83.0,2464.0,"Census Tract 4331.01, Los Angeles County, California",2464.0,45000.0,668.0,44.0,0.0658682634730539,3.3826489830200033,2.9233079146509136,8.9357429663522,0.22817250568648517,0.10064672600595054,0.2548869529882356,0.15424022698228507,10,7,False,True,True
06037911001,911001,373223662,902551,25.6969394325245,50.3151790216843,6.0,31.3503422526447,60.3630862329803,3926.0,-0.704300998,0.122849807,1.0,Yes,0.877150193,83.8,3926.0,"Census Tract 9110.01, Los Angeles County, California",3926.0,53830.0,1516.0,55.0,0.0362796833773087,42.958378111240236,46.03579733080509,38.57414176707727,0.022748791992948852,0.02526902556436297,0.02526902556436297,0.0,3,9,False,False,False
06037910813,910813,82502449,27683,10.2362351443858,13.5779122541604,2.0,31.2009956440573,10.4639435199193,4080.0,0.069921126,0.530937099,3.0,No,0.469062901,76.7,4080.0,"Census Tract 9108.13, Los Angeles County, California",4080.0,105703.0,1265.0,8.0,0.0063241106719367,39.78486261792242,22.178879381427905,39.03149449380656,0.02451890078356086,0.024980331427664138,0.04314272418196588,0.018162392754301742,1,4,False,False,True
06037910716,910716,2452275,15014,26.3169327901652,51.48764498235,6.0,15.556938394524,82.5390821986888,5770.0,-0.404140341,0.263543004,2.0,No,0.736456996,83.9,5770.0,"Census Tract 9107.16, Los Angeles County, California",5770.0,73466.0,1685.0,42.0,0.0249258160237388,43.615406506764884,42.68665333931553,43.86871463273168,0.02241378210570318,0.022287244200895853,0.02289028624447312,0.0006030420435772683,3,7,False,False,True
06037910715,910715,1985969,1495,29.2389578221357,57.3247604639435,6.0,13.8394523957685,95.0327786182552,6653.0,-0.588180079,0.173042362,1.0,Yes,0.826957638,79.5,6653.0,"Census Tract 9107.15, Los Angeles County, California",6653.0,55118.0,1880.0,139.0,0.0739361702127659,44.38451346537604,43.14253204465934,44.62688332336245,0.02203394778623996,0.021916903526214938,0.022653888521580328,0.0007369849953653904,4,8,False,False,True
