geoid10,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle
06037101110,"Census Tract 1011.10, Los Angeles County, California",4283.0,63534.0,1575.0,97.0,0.061587301587301586
06037101122,"Census Tract 1011.22, Los Angeles County, California",3405.0,90389.0,1312.0,8.0,0.006097560975609756
06037101210,"Census Tract 1012.10, Los Angeles County, California",6347.0,44083.0,2297.0,257.0,0.11188506747932085
06037101220,"Census Tract 1012.20, Los Angeles County, California",3702.0,43713.0,1357.0,117.0,0.08621960206337509
06037101300,"Census Tract 1013, Los Angeles County, California",3884.0,81776.0,1445.0,49.0,0.033910034602076124
06037101400,"Census Tract 1014, Los Angeles County, California",3458.0,75139.0,1355.0,104.0,0.07675276752767528
06037102103,"Census Tract 1021.03, Los Angeles County, California",1763.0,76833.0,692.0,6.0,0.008670520231213872
06037102104,"Census Tract 1021.04, Los Angeles County, California",3721.0,80789.0,1230.0,92.0,0.07479674796747968
06037102105,"Census Tract 1021.05, Los Angeles County, California",1905.0,57614.0,559.0,3.0,0.005366726296958855
06037102107,"Census Tract 1021.07, Los Angeles County, California",4349.0,109375.0,1345.0,36.0,0.026765799256505577
06037103101,"Census Tract 1031.01, Los Angeles County, California",2428.0,99875.0,897.0,10.0,0.011148272017837236
06037103102,"Census Tract 1031.02, Los Angeles County, California",4734.0,75276.0,1623.0,80.0,0.04929143561306223
06037103200,"Census Tract 1032, Los Angeles County, California",6349.0,84286.0,2226.0,183.0,0.08221024258760108
06037103300,"Census Tract 1033, Los Angeles County, California",3781.0,105909.0,1288.0,58.0,0.04503105590062112
06037103400,"Census Tract 1034, Los Angeles County, California",6416.0,89926.0,2461.0,90.0,0.03657049979683056
06037104103,"Census Tract 1041.03, Los Angeles County, California",3431.0,97543.0,849.0,27.0,0.03180212014134275
06037104105,"Census Tract 1041.05, Los Angeles County, California",6054.0,54960.0,1646.0,164.0,0.09963547995139732
06037104108,"Census Tract 1041.08, Los Angeles County, California",6001.0,51875.0,1459.0,227.0,0.15558601782042494
06037104124,"Census Tract 1041.24, Los Angeles County, California",3875.0,77885.0,1232.0,23.0,0.018668831168831168
