geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037107010,36.2969863242739,69.5789208270298,7,53.105164903547,74.0922844175492,3141
06037107020,29.5429792717803,57.91729702471,6,61.3441194772869,50.2647503782148,5317
06037108101,22.0057726981546,42.1709531013616,5,40.099564405725,42.0196671709531,2327
06037108102,20.6645240474978,39.2334846192637,4,37.2495332918482,39.649520927886996,3552
06037108103,17.4796758684292,31.4800806858296,4,31.3254511512134,33.0937972768533,3099
06037108104,9.06656194041002,10.7286938981341,2,20.4978220286248,10.8169440242057,1836
06037108201,13.9509434781743,22.8441754916793,3,39.639079029247,17.7508825012607,5460
06037108202,22.6228231248326,43.5451336359052,5,36.3783447417548,46.3313161875946,7487
06037109100,41.9715845336412,77.9878971255673,8,78.8176726820162,68.9359556227937,2797
06037109200,22.7245801791009,43.8350983358548,5,74.4866210329807,27.0927887039839,2846
06037109300,30.3351312768627,59.3419062027232,6,71.5992532669571,46.4195663136662,2962
06037109400,34.969333149912,67.5113464447806,7,59.8257622899813,65.5068078668684,3903
06037109500,63.1544218771323,97.1507816439738,10,95.6440572495333,89.1956631366616,4832
06037109601,30.6775735742814,60.0605143721634,7,53.0678282514001,58.6737266767524,4945
06037109603,36.8265074534151,70.3353504790721,8,63.5096453018046,67.5491679273828,4297
06037109604,33.6884242723042,65.2672718103883,7,62.190416925949,60.4639435199193,3195
06037109700,22.5379403013161,43.368633383762,5,64.4181705040448,30.8749369641957,4616
06037109800,26.3055618829819,51.4624306606152,6,57.2246421904169,44.3645990922844,5534
06037111100,31.4918012171923,61.4851235501765,7,60.8462974486621,55.2950075642965,3179
06037111201,27.9496348401847,54.8537569339385,6,75.3204729309272,38.9056984367121,3628
06037111202,25.5859700579316,50.0756429652042,6,54.0136901057872,44.3015632879476,5169
06037111204,17.8074609856048,32.2617246596067,4,48.0149346608587,25.1765002521432,6114
06037111205,29.2513171645872,57.3625819465456,6,57.0504044803983,52.2440746343923,3869
06037111206,18.9819832184439,35.1109430156329,4,77.4984443061606,17.7887039838628,4379
06037111301,27.1549394534901,53.3535047907211,6,59.4026135656503,45.2344931921331,7552
06037111302,35.5438846792762,68.469490670701,7,57.3366521468575,68.709026727181,5163
06037111400,25.0562215422203,48.8275340393343,5,44.6421904169259,48.3610690872416,8735
06037113101,25.2378490902515,49.3318204740293,5,61.667703795893,38.9687342410489,3719
06037113102,25.0489786288745,48.814926878467,5,55.6813939016802,41.6666666666667,3021
06037113211,19.7315156305297,36.8381240544629,4,58.69321717486,25.7690368129097,4109
06037113212,22.9860745059605,44.4780635400908,5,37.4611076540137,46.886031265759,3494
06037113213,23.4526122513346,45.4866364094806,5,44.6546359676416,43.6838124054463,5248
06037113231,22.950367184318,44.351991931417,5,39.8879900435594,45.196671709531,2303
06037113232,22.6644934001795,43.6081694402421,5,74.6484131922838,26.8532526475038,4315
06037113233,44.8268050362311,81.7826525466465,9,85.3391412570006,69.6797781139687,7345
06037113234,36.9019363136303,70.4236006051437,8,72.2713130056005,61.4851235501765,4823
06037113235,14.9819901603044,25.542107917297,3,29.4088363410081,25.2521432173475,1824
06037113237,36.7905605893532,70.29752899647,8,64.6172993154947,66.4901664145234,4194
06037113301,31.6984920653101,61.8255168935956,7,67.4673304293715,52.2692889561271,3509
06037113303,32.459417789181,63.2375189107413,7,89.869321717486,39.9899142713061,4191
06037113321,39.7122665998464,74.5461422087746,8,62.874922215308,74.9243570347958,6180
06037113322,20.3045970290451,38.2501260716087,4,57.9589296826385,27.6853252647504,4572
06037113401,42.000108708586,78.0383257690368,8,92.7940261356565,55.8749369641957,6550
06037113421,43.0711809182483,79.6142208774584,8,89.4835096453018,62.0272314674735,6879
06037113422,38.5813462921264,72.9954614220877,8,72.8562538892346,65.1916288451841,6306
06037115101,25.9462505746089,50.8951084215835,6,72.1219663970131,35.9556227937468,5083
06037115103,,,,70.7778469197262,,3381
06037115104,43.1231140318943,79.6646495209279,8,73.2918481642813,75.100857286939,4377
06037115201,31.4341648356394,61.3212304589007,7,65.065339141257,53.0005042864347,6647
06037115202,42.0071233677913,78.0509329299042,8,89.4586185438706,59.9722642460918,5684
