geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037553200,0.055811503,0.521309371,3,No,0.47869062900000003,79.2,7637
06037553300,-0.21677777,0.363671374,2,No,0.6363286260000001,81.1,3214
06037553400,-0.163623586,0.393838254,2,No,0.606161746,79.2,3495
06037553502,-0.151440917,0.400513479,2,No,0.599486521,77.4,4066
06037553503,-0.494515672,0.216944801,1,Yes,0.783055199,78.6,2906
06037553504,-0.429675004,0.249422336,1,Yes,0.750577664,75.9,5363
06037553601,-0.687348039,0.128369705,1,Yes,0.871630295,79.4125,4699
06037553602,-0.29807326,0.319897304,2,No,0.6801026960000001,81.6,4752
06037553701,-0.615541102,0.159563543,1,Yes,0.840436457,79.6,3981
06037553702,-0.674275141,0.134531451,1,Yes,0.865468549,75.9,4723
06037553801,-0.644366041,0.145699615,1,Yes,0.8543003849999999,75.3,4954
06037553802,-0.709603398,0.119897304,1,Yes,0.880102696,75.6,6881
06037553901,-0.336469922,0.298331194,2,No,0.701668806,78.4,6773
06037553902,-0.236792041,0.351347882,2,No,0.648652118,78.5,5415
06037554001,-0.23940326,0.350577664,2,No,0.649422336,77.0,3756
06037554002,-0.444019987,0.241720154,1,Yes,0.758279846,80.6,5856
06037554101,-0.467241057,0.230038511,1,Yes,0.7699614889999999,75.9,3548
06037554103,,,,,,,1396
06037554104,-0.357420118,0.287548139,2,No,0.712451861,77.4,2414
06037554105,-0.578143143,0.179589217,1,Yes,0.820410783,78.1,4478
06037554201,-0.061416149,0.452888318,2,No,0.5471116819999999,77.7,4356
06037554203,-0.128132856,0.414505777,2,No,0.585494223,78.9,3730
06037554204,-0.422159172,0.253016688,2,No,0.746983312,77.7,4313
06037554301,-0.485678571,0.221309371,1,Yes,0.778690629,75.3,3499
06037554302,-0.387428761,0.271887035,2,No,0.728112965,78.0,4393
06037554403,-0.446387788,0.240949936,1,Yes,0.759050064,80.5,5848
06037554404,-0.230987127,0.354043646,2,No,0.645956354,74.6,4206
06037554405,-0.2104321,0.366623877,2,No,0.633376123,75.8,3015
06037554406,-0.016085701,0.480359435,2,No,0.519640565,80.4,4766
06037554511,0.241469994,0.630166881,3,No,0.36983311900000004,82.675,4140
06037554512,0.335432839,0.686007702,3,No,0.31399229799999995,86.4,6455
06037554513,0.237714659,0.626957638,3,No,0.37304236199999996,88.4,2758
06037554514,0.123346649,0.563543004,3,No,0.436456996,86.0,4700
06037554515,0.537204932,0.806931964,4,No,0.193068036,81.3,3793
06037554516,0.344971406,0.691784339,3,No,0.308215661,84.8,3885
06037554517,0.303791751,0.667522465,3,No,0.332477535,81.5,4510
06037554518,0.387413186,0.720410783,3,No,0.27958921699999995,84.2,5511
06037554519,0.445661143,0.758279846,4,No,0.24172015400000002,83.4,3498
06037554521,0.029519561,0.507702182,3,No,0.49229781800000005,85.6,5949
06037554522,0.466811116,0.770218228,4,No,0.22978177200000005,85.5,4944
06037554600,-0.070184909,0.446854942,2,No,0.553145058,80.4,4173
06037554700,-0.341602487,0.295892169,2,No,0.704107831,84.3,4328
06037554801,-0.395725015,0.268035944,2,No,0.731964056,79.2,2744
06037554802,-0.20548562,0.369833119,2,No,0.6301668810000001,80.6,6378
06037554900,0.004201024,0.492297818,2,No,0.5077021820000001,80.4,7636
06037555001,-0.067607918,0.448908858,2,No,0.551091142,79.3,5321
06037555002,-0.039886762,0.466880616,2,No,0.5331193839999999,79.36,3625
06037555102,-0.258979739,0.341078306,2,No,0.658921694,78.2,5987
06037555103,0.114269327,0.558279846,3,No,0.441720154,81.2,4873
06037555104,-0.051274147,0.460205392,2,No,0.539794608,78.1,4210
06037555202,0.532848785,0.804749679,4,No,0.19525032099999995,83.1,3661
06037555211,-0.714254226,0.117843389,1,Yes,0.882156611,81.0,5652
06037555212,-0.51397703,0.206161746,1,Yes,0.793838254,79.7,5110
06037570001,0.12410302,0.564569961,3,No,0.435430039,81.9,4764
06037570002,0.169593404,0.588061617,3,No,0.41193838299999996,80.3,2679
06037570003,0.258011859,0.640051348,3,No,0.35994865200000004,79.4,4119
