geoid10,z_poverty,z_income_inv,z_no_vehicle,z_rent_burden,z_overcrowd,z_ces,n_components,disadvantage_index,disadvantage_decile,disadvantage_quartile,poverty_rate,median_hh_income,pct_no_vehicle,pct_rent_burden_30plus,pct_overcrowded,ces_percentile,pct_hispanic,pct_nh_black,pct_nh_asian,pct_nh_white,population
06037212303,1.4399860813570695,0.9110510758146172,2.9934114923512807,0.7106926953107591,1.8872633914955856,0.3198632043031616,6,1.3770446567720789,10,4,0.304929208180388,41797.0,0.3479398299542184,0.6307490144546649,0.3315892740353172,74.6469994957136,0.6348709929632526,0.069846234037008,0.2165754495699765,0.0505603335939536,3837
06037212304,1.3544331531058371,1.245156942212279,4.701234351950442,1.0898627451898086,2.154612624699171,0.9591979754451891,6,1.9174162987671208,10,4,0.2958515283842794,30265.0,0.4956629491945477,0.6802973977695167,0.3605947955390334,91.4271306101866,0.6244541484716157,0.0458515283842794,0.134825327510917,0.1801310043668122,1832
06037212305,1.22853868417944,1.0340954405901002,2.390642023454407,0.3239520377739009,2.2258228856635527,0.07200689933750654,6,1.2125096618331512,10,4,0.2824933687002652,37550.0,0.2958015267175573,0.5802113352545629,0.3683206106870229,68.1417044881493,0.7008264462809918,0.0327272727272727,0.1957024793388429,0.0429752066115702,3025
06037212306,0.5515905528140423,0.9460203596111814,1.1838801853385725,0.5880764484160511,1.5991412103665534,0.1382940506655295,6,0.8345004678686551,9,4,0.2106651040140638,40590.0,0.1914191419141914,0.6147260273972602,0.3003300330033003,69.8814926878467,0.5590389686492822,0.0102549077058306,0.3820685613829475,0.0366246703779666,3413
06037212410,-0.01369479655530131,0.7769973259167693,2.4267641374410376,0.6487372962787314,1.3387220167577083,0.004759064656901687,6,0.8637141740826412,9,4,0.1506849315068493,46424.0,0.2989260143198091,0.6226529376135675,0.2720763723150358,66.3767019667171,0.4529874942102825,0.0389069013432144,0.4082908754052802,0.0680870773506252,4318
06037212420,1.0341815866222297,0.9396754771327658,2.731237297432926,0.9545803775113169,2.1339542914001037,-0.134540021467208,6,1.276514834772022,10,4,0.2618709127096957,40809.0,0.3252623083131558,0.6626192541196878,0.3583535108958838,62.720625315179,0.5416548194483936,0.0682399772533409,0.2971282342905885,0.0517486494171168,3517
06037212501,0.3247686598732365,0.9893915425800766,2.4925387886769133,0.8849337844907146,0.6743808199255089,-0.5706902635385549,6,0.7992205553346491,9,4,0.1865979381443299,39093.0,0.3046153846153846,0.6535181236673774,0.2,51.2733232476046,0.5391752577319587,0.0458762886597938,0.222680412371134,0.1742268041237113,1940
06037212502,0.4443690309881395,0.7391308355090566,1.257970195908976,0.2105877103138471,0.5614005952205798,-0.589903930590156,6,0.4372590728917405,8,3,0.199288256227758,47731.0,0.1978277734678045,0.5653973509933775,0.1877424359968968,50.7690368129097,0.3370106761565836,0.0669039145907473,0.4281138790035587,0.1288256227758007,2810
06037212610,1.000912357817027,0.8585826640867152,1.4378214355739243,0.7106926953107591,0.6056185025891082,-0.08026141204643492,6,0.755561040555183,9,4,0.2583408476104599,43608.0,0.2133845309928689,0.6307490144546649,0.1925397696105321,64.1452344931921,0.3611423431526872,0.0258601304250056,0.5243984708792444,0.0805037103665392,4447
06037212620,0.5870481427275541,0.8700556022668638,1.5364393585964724,0.45815797322230317,0.7896593821262733,-0.4145792187442924,6,0.6377968733658624,8,4,0.214427367377293,43212.0,0.2219147758716104,0.5977488151658767,0.2125069175428887,55.3706505295008,0.4416442378272571,0.027648642035723,0.4005382921458282,0.0932224125275263,4087
